pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
SL,9/28/2008,86,null,null,Damaso Marte,453056,150122,single,hit_into_play_score,,,,,1,Jacoby Ellsbury singles on a line drive to left fielder Johnny Damon.    Mark Kotsay scores.,R,L,L,BOS,NYY,X,null,line_drive,1,2,2008,-0.823745833,0.219636667,-0.386,3.408,117276,null,null,2,8,Bot,72.29,119.48,,,null,,null,,,,,,,3.379,1.708,null,null,null,null,null,null,236181,null,null,null,null,null,null,null,null,null,null,null,null,0.9,1,1,0,null,61,6
SL,9/28/2008,85.7,null,null,Damaso Marte,453056,150122,null,foul,,,,,11,null,R,L,L,BOS,NYY,S,null,null,1,2,2008,-0.826529167,0.148113333,-1.175,2.715,117276,null,null,2,8,Bot,null,null,,,null,,null,,,,,,,3.379,1.708,null,null,null,null,null,null,236181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61,5
FF,9/28/2008,95.4,null,null,Damaso Marte,453056,150122,null,ball,,,,,11,null,R,L,L,BOS,NYY,B,null,null,0,2,2008,0.594919167,1.407296667,-0.763,5.243,117276,null,null,2,8,Bot,null,null,,,null,,null,,,,,,,3.379,1.708,null,null,null,null,null,null,236181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61,4
SI,9/28/2008,94.5,null,null,Damaso Marte,453056,150122,null,foul,,,,,12,null,R,L,L,BOS,NYY,S,null,null,0,2,2008,0.8824375,1.75746,0.18,3.884,117276,null,null,2,8,Bot,null,null,,,null,,null,,,,,,,3.379,1.708,null,null,null,null,null,null,236181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61,3
FF,9/28/2008,94.9,null,null,Damaso Marte,453056,150122,null,called_strike,,,,,5,null,R,L,L,BOS,NYY,S,null,null,0,1,2008,0.896075833,1.715176667,-0.23,2.341,117276,null,null,2,8,Bot,null,null,,,null,,null,,,,,,,3.379,1.708,null,null,null,null,null,null,236181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61,2
SL,9/28/2008,84,null,null,Damaso Marte,453056,150122,null,swinging_strike,,,,,13,null,R,L,L,BOS,NYY,S,null,null,0,0,2008,-0.792850833,0.02542,-1.252,1.966,117276,null,null,2,8,Bot,null,null,,,null,,null,,,,,,,3.379,1.708,null,null,null,null,null,null,236181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61,1
SI,9/23/2008,94.5,null,null,Damaso Marte,407489,150122,walk,ball,,,,,8,Lyle Overbay walks.    Adam Lind to 2nd.,R,L,L,TOR,NYY,B,null,null,3,2,2008,0.829136667,1.301803333,0.02,1.646,null,null,452252,1,7,Bot,null,null,,,null,,null,,,,,,,3.56,1.68,null,null,null,null,null,null,236111,null,null,null,null,null,null,null,null,null,null,null,null,0.7,1,0,0,null,51,7
SL,9/23/2008,84,null,null,Damaso Marte,407489,150122,null,ball,,,,,13,null,R,L,L,TOR,NYY,B,null,null,2,2,2008,-0.5220325,-0.205776667,-1.312,1.269,null,null,452252,1,7,Bot,null,null,,,null,,null,,,,,,,3.56,1.68,null,null,null,null,null,null,236111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51,6
SL,9/23/2008,84.4,null,null,Damaso Marte,407489,150122,null,foul,,,,,4,null,R,L,L,TOR,NYY,S,null,null,2,2,2008,-0.636845,-0.10444,-0.504,2.327,null,null,452252,1,7,Bot,null,null,,,null,,null,,,,,,,3.56,1.68,null,null,null,null,null,null,236111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51,5
SI,9/23/2008,94.6,null,null,Damaso Marte,407489,150122,null,called_strike,,,,,1,null,R,L,L,TOR,NYY,S,null,null,2,1,2008,1.163554167,1.078776667,-0.459,3.276,null,null,452252,1,7,Bot,null,null,,,null,,null,,,,,,,3.56,1.68,null,null,null,null,null,null,236111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51,4
SI,9/23/2008,92.5,null,null,Damaso Marte,407489,150122,null,called_strike,,,,,7,null,R,L,L,TOR,NYY,S,null,null,2,0,2008,1.1997375,1.248913333,-0.315,1.933,null,null,452252,1,7,Bot,null,null,,,null,,null,,,,,,,3.56,1.68,null,null,null,null,null,null,236111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51,3
SI,9/23/2008,93.2,null,null,Damaso Marte,407489,150122,null,ball,,,,,12,null,R,L,L,TOR,NYY,B,null,null,1,0,2008,1.376896667,1.276003333,1.298,3.476,null,null,452252,1,7,Bot,null,null,,,null,,null,,,,,,,3.56,1.68,null,null,null,null,null,null,236111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51,2
SI,9/23/2008,92.7,null,null,Damaso Marte,407489,150122,null,ball,,,,,12,null,R,L,L,TOR,NYY,B,null,null,0,0,2008,1.3396,0.910073333,0.592,3.873,null,null,452252,1,7,Bot,null,null,,,null,,null,,,,,,,3.56,1.68,null,null,null,null,null,null,236111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51,1
