"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FS","2008-09-28","85.1","null","null","Ryan Franklin",150020,211041,"field_out","hit_into_play",,,,,"6","Jerry Hairston flies out to center fielder Skip Schumaker.","R","R","R","STL","CIN","X","8","fly_ball",0,0,2008,"-0.35155333333333333333","0.85732666666666666667","0.6120","2.4770","null","null","null",2,7,"Top","123.49","66.27",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",236175,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",63,"1"
"SI","2008-09-28","92.0","null","null","Ryan Franklin",489267,211041,"field_out","hit_into_play",,,,,"2","Adam Rosales pops out to first baseman Josh Phelps in foul territory.","R","R","R","STL","CIN","X","3","popup",1,2,2008,"-1.2944075000000000","1.3440866666666667","-0.2050","2.9430","null","null","null",1,7,"Top","157.63","170.68",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",236175,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",62,"4"
"FS","2008-09-28","85.1","null","null","Ryan Franklin",489267,211041,"null","ball",,,,,"14","null","R","R","R","STL","CIN","B","null","null",0,2,2008,"-0.27139333333333333333","0.71686000000000000000","2.0970","1.6960","null","null","null",1,7,"Top","null","null",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",236175,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",62,"3"
"CH","2008-09-28","86.2","null","null","Ryan Franklin",489267,211041,"null","called_strike",,,,,"14","null","R","R","R","STL","CIN","S","null","null",0,1,2008,"-0.44646500000000000000","0.68977000000000000000","1.0550","2.1100","null","null","null",1,7,"Top","null","null",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",236175,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",62,"2"
"CH","2008-09-28","85.6","null","null","Ryan Franklin",489267,211041,"null","swinging_strike",,,,,"9","null","R","R","R","STL","CIN","S","null","null",0,0,2008,"-0.54763916666666666667","0.55475000000000000000","0.6100","1.6520","null","null","null",1,7,"Top","null","null",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",236175,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",62,"1"
"FS","2008-09-28","85.2","null","null","Ryan Franklin",457926,211041,"field_out","hit_into_play",,,,,"14","Paul Janish flies out to right fielder Brendan Ryan.","R","R","R","STL","CIN","X","9","fly_ball",0,1,2008,"-0.20918583333333333333","0.66368333333333333333","0.9570","2.3620","null","null","null",0,7,"Top","160.64","69.28",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",236175,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",61,"2"
"FF","2008-09-28","89.5","null","null","Ryan Franklin",457926,211041,"null","called_strike",,,,,"12","null","R","R","R","STL","CIN","S","null","null",0,0,2008,"-0.99506000000000000000","1.4839800000000000","0.8910","3.2610","null","null","null",0,7,"Top","null","null",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",236175,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",61,"1"
"SL","2008-09-26","85.7","null","null","Ryan Franklin",150020,211041,"field_out","hit_into_play",,,,,"6","Jerry HairstonJr.   pops out to second baseman Felipe Lopez.","R","R","R","STL","CIN","X","4","popup",2,2,2008,"-0.04858750000000000000","0.39307000000000000000","0.4060","2.3480","null","null","132660.00",2,9,"Top","165.66","136.55",,,"null",,"null",,,,,,,"3.4550","1.3730","null","null","null","null","null","null",236145,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",73,"6"
"SI","2008-09-26","92.5","null","null","Ryan Franklin",150020,211041,"null","ball",,,,,"14","null","R","R","R","STL","CIN","B","null","null",1,2,2008,"-1.10180083333333333333","1.4150366666666667","1.0640","1.6860","null","null","132660.00",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.4550","1.3730","null","null","null","null","null","null",236145,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",73,"5"
"FF","2008-09-26","87.6","null","null","Ryan Franklin",150020,211041,"null","foul",,,,,"14","null","R","R","R","STL","CIN","S","null","null",1,2,2008,"-0.25483250000000000000","0.66010000000000000000","0.8570","1.7040","null","null","132660.00",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.4550","1.3730","null","null","null","null","null","null",236145,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",73,"4"
"SI","2008-09-26","93.7","null","null","Ryan Franklin",150020,211041,"null","ball",,,,,"14","null","R","R","R","STL","CIN","B","null","null",0,2,2008,"-1.09901750000000000000","1.6364866666666667","1.3520","1.6820","null","null","132660.00",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.7010","1.3730","null","null","null","null","null","null",236145,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",73,"3"
"SI","2008-09-26","93.2","null","null","Ryan Franklin",150020,211041,"null","foul",,,,,"13","null","R","R","R","STL","CIN","S","null","null",0,1,2008,"-1.6199183333333333","1.20147000000000000000","-0.9270","2.0780","null","null","132660.00",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.7010","1.3730","null","null","null","null","null","null",236145,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",73,"2"
"SI","2008-09-26","93.4","null","null","Ryan Franklin",150020,211041,"null","foul",,,,,"4","null","R","R","R","STL","CIN","S","null","null",0,0,2008,"-1.5069150000000000","1.14098333333333333333","-0.4410","2.4000","null","null","132660.00",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.7010","1.3730","null","null","null","null","null","null",236145,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",73,"1"
"SI","2008-09-26","94.3","null","null","Ryan Franklin",132660,211041,"single","hit_into_play_no_out",,,,,"4","Jolbert Cabrera singles on a ground ball to center fielder Skip Schumaker.","R","R","R","STL","CIN","X","null","ground_ball",0,1,2008,"-1.5585458333333333","1.13138000000000000000","-0.3960","2.6040","null","null","null",2,9,"Top","122.49","87.35",,,"null",,"null",,,,,,,"3.5980","1.5120","null","null","null","null","null","null",236145,"null","null","null","null","null","null","null","null","null","null","null","null","0.90",1,1,0,"null",72,"2"
"SI","2008-09-26","94.5","null","null","Ryan Franklin",132660,211041,"null","called_strike",,,,,"14","null","R","R","R","STL","CIN","S","null","null",0,0,2008,"-1.3464558333333333","1.5285566666666667","0.9580","1.7620","null","null","null",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.7380","1.5120","null","null","null","null","null","null",236145,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",72,"1"
"CH","2008-09-26","85.7","null","null","Ryan Franklin",123609,211041,"home_run","hit_into_play_score",,,,,"5","Javier Valentin homers (4) on a fly ball to right field.    Danny Richar scores.","R","L","R","STL","CIN","X","null","fly_ball",1,1,2008,"-1.2575283333333333","0.64275666666666666667","-0.0960","2.4920","462950.00","null","null",2,9,"Top","232.93","75.30",,,"null",,"null",,,,,,,"3.3270","1.3110","null","null","null","null","null","null",236145,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",71,"3"
