"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"CH","2015-10-03","87.8","-2.6876","5.5728","Michael Tonkin",543333,543859,"field_out","hit_into_play",,,,,"13","Eric Hosmer grounds out, second baseman Brian Dozier to first baseman Joe Mauer.","R","L","R","MIN","KC","X","4","ground_ball",1,1,2015,"-1.3115250000000000","-0.25293333333333333333","-0.9100","1.6100","null","null","null",2,9,"Top","149.24","157.17",,,543302,,"151003_145306",,,,,,,"3.6500","1.7000","5","82.2","-26.9840","88.6290","1798","6.5630",416057,543859,543302,408045,572821,461858,500871,592696,543305,116338,"53.9367","0.061","0.057","0.00",1,0,0,2,70,"3"
"FT","2015-10-03","94.1","-2.6973","5.9012","Michael Tonkin",543333,543859,"null","ball",,,,,"13","null","R","L","R","MIN","KC","B","null","null",0,1,2015,"-1.6817083333333333","0.06956666666666666667","-1.7200","2.0300","null","null","null",2,9,"Top","null","null",,,543302,,"151003_145250",,,,,,,"3.5800","1.7000","null","null","null","94.2780","2426","6.3060",416057,543859,543302,408045,572821,461858,500871,592696,543305,116338,"54.1937","0.000","0.000","null","null","null","null","null",70,"2"
"FT","2015-10-03","95.0","-2.5491","5.7105","Michael Tonkin",543333,543859,"null","swinging_strike",,,,,"13","null","R","L","R","MIN","KC","S","null","null",0,0,2015,"-1.6664000000000000","0.15413333333333333333","-1.0800","1.0000","null","null","null",2,9,"Top","null","null",,,543302,,"151003_145234",,,,,,,"3.6500","1.7000","null","null","null","94.8790","2410","6.3970",416057,543859,543302,408045,572821,461858,500871,592696,543305,116338,"54.1029","0.000","0.000","null","null","null","null","null",70,"1"
"FT","2015-10-03","94.8","-2.3459","5.6946","Michael Tonkin",456715,543859,"field_out","hit_into_play",,,,,"5","Lorenzo Cain grounds out, second baseman Brian Dozier to first baseman Joe Mauer.","R","R","R","MIN","KC","X","4","ground_ball",0,1,2015,"-1.2836916666666667","0.64720000000000000000","0.2400","2.5300","null","null","null",1,9,"Top","143.66","158.19",,,543302,,"151003_145200",,,,,,,"3.7400","1.7300","11","107.1","-14.0560","95.4660","2388","6.4870",416057,543859,543302,408045,572821,461858,500871,592696,543305,116338,"54.0126","0.289","0.264","0.00",1,0,0,2,69,"2"
"SL","2015-10-03","82.0","-2.5540","5.7662","Michael Tonkin",456715,543859,"null","foul",,,,,"14","null","R","R","R","MIN","KC","S","null","null",0,0,2015,"0.43919166666666666667","-0.08666666666666666667","1.0400","1.3700","null","null","null",1,9,"Top","null","null",,,543302,,"151003_145140",,,,,,,"3.7400","1.7300","null","null","null","82.1240","678","6.2480",416057,543859,543302,408045,572821,461858,500871,592696,543305,116338,"54.2513","0.000","0.000","null","null","null","null","null",69,"1"
"FT","2015-10-03","93.8","-2.6183","5.8562","Michael Tonkin",450314,543859,"field_out","hit_into_play",,,,,"4","Ben Zobrist flies out to left fielder Eddie Rosario.","R","L","R","MIN","KC","X","7","fly_ball",2,1,2015,"-1.5801166666666667","0.69163333333333333333","-0.4300","2.5400","null","null","null",0,9,"Top","76.65","97.66",,,543302,,"151003_145102",,,,,,,"3.6800","1.7100","253","87.8","45.1440","94.0420","2358","6.3060",416057,543859,543302,408045,572821,461858,500871,592696,543305,116338,"54.1931","0.006","0.008","0.00",1,0,0,3,68,"4"
"FT","2015-10-03","94.1","-2.7138","5.5925","Michael Tonkin",450314,543859,"null","ball",,,,,"13","null","R","L","R","MIN","KC","B","null","null",1,1,2015,"-1.4618250000000000","0.58700000000000000000","-1.2900","2.0500","null","null","null",0,9,"Top","null","null",,,543302,,"151003_145046",,,,,,,"3.6800","1.7100","null","null","null","95.1660","2404","6.5660",416057,543859,543302,408045,572821,461858,500871,592696,543305,116338,"53.9340","0.000","0.000","null","null","null","null","null",68,"3"
"CH","2015-10-03","87.7","-2.7186","5.6853","Michael Tonkin",450314,543859,"null","ball",,,,,"13","null","R","L","R","MIN","KC","B","null","null",0,1,2015,"-1.4980083333333333","0.05953333333333333333","-1.3500","2.5200","null","null","null",0,9,"Top","null","null",,,543302,,"151003_145032",,,,,,,"3.6100","1.7100","null","null","null","88.6330","1933","6.5480",416057,543859,543302,408045,572821,461858,500871,592696,543305,116338,"53.9515","0.000","0.000","null","null","null","null","null",68,"2"
"FT","2015-10-03","92.6","-2.5465","5.8044","Michael Tonkin",450314,543859,"null","foul",,,,,"7","null","R","L","R","MIN","KC","S","null","null",0,0,2015,"-1.4994000000000000","0.88513333333333333333","-0.4800","2.0900","null","null","null",0,9,"Top","null","null",,,543302,,"151003_145014",,,,,,,"3.6800","1.7100","null","null","null","93.6980","2223","6.4150",416057,543859,543302,408045,572821,461858,500871,592696,543305,116338,"54.0848","0.000","0.000","null","null","null","null","null",68,"1"
"FT","2015-10-03","94.5","-2.2518","6.0159","Michael Tonkin",444876,543859,"field_out","hit_into_play",,,,,"2","Alcides Escobar grounds out, shortstop Eduardo Escobar to first baseman Joe Mauer.","R","R","R","MIN","KC","X","6","ground_ball",1,2,2015,"-0.97613333333333333333","0.86076666666666666667","-0.2400","3.3000","null","null","null",2,8,"Top","109.14","150.05",,,543302,,"151003_144031",,,,,,,"3.3600","1.5400","37","97.0","-3.4590","95.1050","2370","6.4670",416057,543859,543302,408045,572821,461858,500871,592696,543305,116338,"54.0322","0.377","0.353","0.00",1,0,0,2,64,"4"
