"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3749",429717,"Dan Haren","3749","100.00","0.267","0.162","0.314","0.429","0.317","null","null","245","919","null","null","null","87.5","null","411","1762","1939","null","null","null","null","null","null","null","null","null"
"3745",434378,"Justin Verlander","3745","100.00","0.228","0.112","0.289","0.339","0.279","null","null","190","834","null","null","null","90.9","null","375","1725","1993","null","null","null","null","null","null","null","null","null"
"3731",433587,"Felix Hernandez","3731","100.00","0.212","0.100","0.265","0.312","0.262","null","null","194","914","null","null","null","91.5","null","396","1724","1979","null","null","null","null","null","null","null","null","null"
"3713",450308,"Jered Weaver","3713","100.00","0.222","0.134","0.277","0.355","0.273","null","null","187","844","null","null","null","84.5","null","448","1715","1980","null","null","null","null","null","null","null","null","null"
"3600",434622,"Ubaldo Jimenez","3600","100.00","0.209","0.102","0.274","0.311","0.276","null","null","164","785","null","null","null","92.3","null","363","1532","2021","null","null","null","null","null","null","null","null","null"
"3599",407793,"John Lackey","3599","100.00","0.277","0.149","0.320","0.426","0.334","null","null","233","840","null","null","null","88.1","null","285","1581","1990","null","null","null","null","null","null","null","null","null"
"3596",133225,"Ryan Dempster","3596","100.00","0.244","0.144","0.298","0.388","0.313","null","null","198","811","null","null","null","88.3","null","428","1584","1962","null","null","null","null","null","null","null","null","null"
"3587",282332,"CC Sabathia","3587","100.00","0.239","0.116","0.283","0.355","0.290","null","null","209","876","null","null","null","90.0","null","361","1641","1911","null","null","null","null","null","null","null","null","null"
"3575",150116,"Randy Wolf","3575","100.00","0.258","0.172","0.279","0.430","0.331","null","null","213","825","null","null","null","82.8","null","267","1594","1931","null","null","null","null","null","null","null","null","null"
"3568",136880,"Roy Halladay","3568","100.00","0.245","0.128","0.294","0.373","0.279","null","null","231","943","null","null","null","89.3","null","386","1739","1799","null","null","null","null","null","null","null","null","null"
"3561",429722,"Ervin Santana","3561","100.00","0.259","0.161","0.292","0.420","0.323","null","null","221","852","null","null","null","89.0","null","328","1565","1966","null","null","null","null","null","null","null","null","null"
"3549",112020,"Chris Carpenter","3549","100.00","0.244","0.133","0.282","0.377","0.297","null","null","214","877","null","null","null","86.0","null","331","1566","1934","null","null","null","null","null","null","null","null","null"
"3501",430912,"Matt Cain","3501","100.00","0.221","0.148","0.254","0.369","0.281","null","null","181","818","null","null","null","88.6","null","347","1676","1790","null","null","null","null","null","null","null","null","null"
"3457",408206,"Brett Myers","3457","100.00","0.248","0.131","0.292","0.379","0.298","null","null","212","854","null","null","null","85.0","null","321","1510","1907","null","null","null","null","null","null","null","null","null"
"3445",425844,"Zack Greinke","3445","100.00","0.260","0.128","0.309","0.388","0.304","null","null","219","843","null","null","null","89.8","null","294","1537","1883","null","null","null","null","null","null","null","null","null"
"3441",450351,"C.J. Wilson","3441","100.00","0.217","0.094","0.267","0.311","0.285","null","null","161","743","null","null","null","87.3","null","259","1327","2089","null","null","null","null","null","null","null","null","null"
"3437",453311,"Tim Lincecum","3437","100.00","0.242","0.122","0.315","0.364","0.297","null","null","194","802","null","null","null","87.6","null","405","1567","1825","null","null","null","null","null","null","null","null","null"
"3407",460059,"Mike Pelfrey","3407","100.00","0.275","0.123","0.308","0.398","0.319","null","null","213","774","null","null","null","89.5","null","235","1567","1800","null","null","null","null","null","null","null","null","null"
"3390",477132,"Clayton Kershaw","3390","100.00","0.214","0.106","0.279","0.320","0.276","null","null","160","748","null","null","null","89.1","null","365","1474","1863","null","null","null","null","null","null","null","null","null"
